Kanji,Frequency倡,55
誓,1688
撕,8
厩,291
砠,2
獏,14
丶,20
胤,347
粂,17
騒,2862
溢,275
乗,12804
阯,26
斧,515
礑,51
借,5032
葦,1385
鴻,437
姨,88
吠,281
訊,117
巽,83
窒,872
覚,9471
絓,3
鸞,359
壙,26
糾,270
愡,2
殕,2
慇,73
縣,8
悶,222
女,47092
羨,159
別,27597
茗,129
齠,4
吏,1427
忠,4085
岻,2
諏,233
燥,2120
蘰,8
剪,260
酷,806
幣,3541
穩,4
袱,253
牟,277
瑣,134
陣,4127
胆,1822
短,8792
苫,119
槞,2
陲,32
潅,4
淳,263
韆,25
誅,201
帶,6
舎,4212
蝓,37
个,41
条,12921
逡,33
樌,2
跿,3
畠,430
襯,30
榱,23
象,13923
辻,791
溘,14
議,14880
檗,186
鎌,4995
施,6505
瞽,108
託,2601
拜,4
髻,334
賍,7
鵟,4
磠,2
冩,3
駲,3
鄲,154
筋,7731
鵝,30
霖,120
將,6
営,8062
諌,16
吽,98
硬,3655
噺,335
麋,32
橙,617
加,20756
退,6624
受,20975
齲,40
芽,2953
聞,19146
課,3612
失,10750
讒,321
祓,876
搭,296
席,6480
簒,40
武,15622
榻,93
頑,788
青,11989
捏,242
襤,110
懿,57
窘,23
榿,2
沃,536
槨,56
榍,2
碕,45
眷,189
渤,108
返,10764
噫,26
法,71150
綴,1506
列,8285
杣,225
苑,556
覡,46
半,16128
田,28552
唳,15
匱,35
究,8201
潯,19
摘,1953
彈,4
嶄,18
蛬,2
侖,5
蚋,36
趣,3181
錐,1737
溷,24
滉,6
奈,4654
鱶,49
轍,240
盆,2672
搖,4
瞠,43
枳,114
萁,2
侠,492
塑,301
鷹,1653
脚,5863
充,1733
蹤,58
衣,14870
俗,10768
狢,46
氏,26032
捥,5
抜,8974
鯧,2
悚,45
蛯,2
逝,237
疣,265
軽,8056
繧,66
弘,2111
櫓,845
道,51523
笑,5613
堪,1177
級,6943
羚,76
鯢,13
聟,355
襪,44
蟇,303
格,13931
凛,30
蕉,1141
言,62466
奐,21
坿,3
攝,4
杠,30
箸,1084
潤,1006
谿,105
摶,9
戳,2
修,8669
捨,3651
枉,138
黹,7
橢,17
棧,4
啌,6
褂,2
羲,119
莖,4
泝,17
瑰,26
妄,800
菘,28
淮,303
斌,29
鋺,28
葩,45
蕕,17
倒,5276
綽,70
玉,11717
緩,1583
抄,5309
飆,20
醪,48
籘,3
前,43930
嘘,375
些,262
澂,3
瀛,34
羂,95
圄,28
雛,1045
鮃,34
攻,4747
考,13493
洛,768
慶,3753
垂,5988
雨,11294
橈,65
淪,33
霆,26
鑞,185
燵,223
敞,9
怜,45
芩,4
僻,336
糶,85
鱪,2
楴,2
蟒,23
盻,3
鮄,3
肥,3933
蝙,182
乂,22
迫,2602
麩,223
普,7521
僊,77
麪,17
晦,539
鱠,53
筆,10415
掘,2749
詑,3
埒,285
聽,5
軫,51
祟,113
慝,15
巫,525
舌,2844
鍍,194
台,15672
忘,3231
鵜,475
照,6840
炷,1
毋,32
伉,20
糗,2
